Institution,Date,Region,Capital_Adequacy_Ratio,Credit_Risk,Market_Risk,Operational_Risk,Total_Risk,Compliance_Status,Risk_Grade
Mario Bank,2019-03-31,North,12.13,54.36,50.04,49.94,154.34,Non-Compliant,Moderate
Mario Bank,2019-06-30,North,12.38,54.5,50.22,50.36,155.08,Compliant,Moderate
Mario Bank,2019-09-30,North,12.44,54.68,50.59,50.29,155.56,Compliant,Low
Mario Bank,2019-12-31,North,12.47,55.01,50.86,49.92,155.79,Non-Compliant,Moderate
Mario Bank,2020-03-31,North,12.72,55.59,51.3,50.37,157.26,Compliant,Low
Mario Bank,2020-06-30,North,12.74,56.17,51.65,50.39,158.21,Compliant,Low
Mario Bank,2020-09-30,North,13.1,56.56,51.97,50.24,158.77,Compliant,Low
Mario Bank,2020-12-31,North,13.2,56.63,48.34,50.76,155.73,Compliant,High
Mario Bank,2021-03-31,North,13.35,56.67,48.37,50.75,155.79,Compliant,Moderate
Mario Bank,2021-06-30,North,13.57,56.94,48.59,51.59,157.12,Compliant,Low
Mario Bank,2021-09-30,North,13.89,57.54,49.25,51.59,158.38,Compliant,Moderate
Mario Bank,2021-12-31,North,14.06,57.76,49.56,51.31,158.63,Non-Compliant,Low
Mario Bank,2022-03-31,North,14.32,57.87,47.64,50.97,156.48,Non-Compliant,Low
Mario Bank,2022-06-30,North,14.44,57.94,47.77,50.95,156.66,Non-Compliant,Moderate
Mario Bank,2022-09-30,North,15.88,58.56,48.42,50.59,157.57,Non-Compliant,Low
Mario Bank,2022-12-31,North,15.99,58.57,49.14,50.97,158.68,Compliant,Low
Mario Bank,2023-03-31,North,16.6,59.17,49.3,51.31,159.78,Non-Compliant,Moderate
Mario Bank,2023-06-30,North,17.13,58.42,49.77,51.51,159.7,Non-Compliant,Moderate
Mario Bank,2023-09-30,North,17.21,58.53,50.56,51.56,160.65,Compliant,Low
Mario Bank,2023-12-31,North,17.52,59.1,50.67,52.1,161.87,Compliant,Moderate
Luigi Trust,2019-03-31,South,11.73,49.9,49.82,50.36,150.08,Compliant,Moderate
Luigi Trust,2019-06-30,South,11.49,49.43,49.77,50.41,149.61,Compliant,Low
Luigi Trust,2019-09-30,South,11.46,53.52,49.74,50.34,153.6,Compliant,Low
Luigi Trust,2019-12-31,South,11.19,53.3,49.46,50.23,152.99,Non-Compliant,Low
Luigi Trust,2020-03-31,South,11.18,52.82,44.54,49.84,147.2,Compliant,Moderate
Luigi Trust,2020-06-30,South,7.58,52.66,44.13,53.03,149.82,Compliant,Low
Luigi Trust,2020-09-30,South,7.41,52.23,44.05,53.19,149.47,Non-Compliant,Low
Luigi Trust,2020-12-31,South,7.21,52.14,43.67,52.87,148.68,Non-Compliant,Low
Luigi Trust,2021-03-31,South,7.0,51.67,38.87,52.85,143.39,Non-Compliant,Low
Luigi Trust,2021-06-30,South,6.89,52.53,38.6,52.8,143.93,Compliant,Low
Luigi Trust,2021-09-30,South,6.69,52.04,38.28,52.89,143.21,Compliant,Low
Luigi Trust,2021-12-31,South,6.49,51.77,37.79,52.53,142.09,Compliant,High
Luigi Trust,2022-03-31,South,6.46,51.4,37.62,52.63,141.65,Non-Compliant,Low
Luigi Trust,2022-06-30,South,6.37,51.05,37.48,52.91,141.44,Compliant,Low
Luigi Trust,2022-09-30,South,6.08,50.89,42.05,52.64,145.58,Non-Compliant,Low
Luigi Trust,2022-12-31,South,5.81,50.49,41.63,53.61,145.73,Non-Compliant,High
Luigi Trust,2023-03-31,South,5.57,50.03,41.42,53.97,145.42,Compliant,Moderate
Luigi Trust,2023-06-30,South,5.39,49.77,41.34,53.88,144.99,Non-Compliant,Low
Luigi Trust,2023-09-30,South,5.32,49.44,41.06,53.84,144.34,Compliant,Moderate
Luigi Trust,2023-12-31,South,6.69,49.04,40.72,54.2,143.96,Compliant,High
Peach Finance,2019-03-31,West,12.43,51.29,50.52,50.38,152.19,Non-Compliant,Critical
Peach Finance,2019-06-30,West,12.73,54.48,50.34,50.65,155.47,Non-Compliant,Moderate
Peach Finance,2019-09-30,West,12.25,53.98,50.67,50.58,155.23,Non-Compliant,Moderate
Peach Finance,2019-12-31,West,12.26,55.23,48.85,50.22,154.3,Compliant,High
Peach Finance,2020-03-31,West,12.05,57.17,50.66,50.47,158.3,Non-Compliant,Moderate
Peach Finance,2020-06-30,West,15.97,59.45,50.48,50.87,160.8,Compliant,Moderate
Peach Finance,2020-09-30,West,15.48,59.68,49.59,51.09,160.36,Non-Compliant,Low
Peach Finance,2020-12-31,West,16.02,61.31,49.44,51.37,162.12,Non-Compliant,High
Peach Finance,2021-03-31,West,16.1,60.96,54.52,51.33,166.81,Compliant,Moderate
Peach Finance,2021-06-30,West,16.04,59.19,56.47,51.69,167.35,Non-Compliant,High
Peach Finance,2021-09-30,West,15.84,57.66,56.61,51.47,165.74,Non-Compliant,Moderate
Peach Finance,2021-12-31,West,16.14,58.64,57.87,51.57,168.08,Non-Compliant,Low
Peach Finance,2022-03-31,West,16.49,60.49,56.52,51.26,168.27,Non-Compliant,Moderate
Peach Finance,2022-06-30,West,16.48,59.64,57.81,51.27,168.72,Non-Compliant,Low
Peach Finance,2022-09-30,West,16.54,58.53,58.71,51.29,168.53,Compliant,Moderate
Peach Finance,2022-12-31,West,17.0,56.58,58.38,51.33,166.29,Compliant,Low
Peach Finance,2023-03-31,West,16.55,54.75,55.11,51.63,161.49,Compliant,Low
Peach Finance,2023-06-30,West,16.86,54.86,54.62,53.89,163.37,Non-Compliant,Low
Peach Finance,2023-09-30,West,16.38,53.16,56.57,53.99,163.72,Non-Compliant,Moderate
Peach Finance,2023-12-31,West,16.62,55.03,56.94,53.76,165.73,Non-Compliant,Low
Bowser Securities,2019-03-31,East,11.91,49.61,49.91,50.26,149.78,Compliant,Low
Bowser Securities,2019-06-30,East,11.89,49.64,49.52,49.96,149.12,Non-Compliant,High
Bowser Securities,2019-09-30,East,11.7,49.41,49.99,50.31,149.71,Non-Compliant,Critical
Bowser Securities,2019-12-31,East,11.42,48.93,50.31,49.97,149.21,Compliant,Low
Bowser Securities,2020-03-31,East,11.29,48.64,49.98,50.03,148.65,Compliant,Moderate
Bowser Securities,2020-06-30,East,11.04,48.26,50.41,49.74,148.41,Compliant,Low
Bowser Securities,2020-09-30,East,11.02,48.35,50.48,49.5,148.33,Non-Compliant,Moderate
Bowser Securities,2020-12-31,East,10.94,48.64,50.75,49.23,148.62,Compliant,High
Bowser Securities,2021-03-31,East,14.04,48.23,50.57,49.36,148.16,Compliant,Low
Bowser Securities,2021-06-30,East,14.12,48.32,50.58,49.25,148.15,Compliant,Low
Bowser Securities,2021-09-30,East,14.34,48.25,50.2,49.17,147.62,Non-Compliant,Low
Bowser Securities,2021-12-31,East,14.08,48.03,49.99,49.12,147.14,Non-Compliant,Low
Bowser Securities,2022-03-31,East,14.26,48.18,49.64,49.09,146.91,Compliant,Moderate
Bowser Securities,2022-06-30,East,14.08,48.03,48.04,49.28,145.35,Compliant,Low
Bowser Securities,2022-09-30,East,14.0,48.14,52.57,49.07,149.78,Non-Compliant,Moderate
Bowser Securities,2022-12-31,East,14.07,47.74,52.39,48.98,149.11,Compliant,Moderate
Bowser Securities,2023-03-31,East,14.05,47.49,52.15,49.3,148.94,Compliant,Moderate
Bowser Securities,2023-06-30,East,13.77,47.17,52.41,49.0,148.58,Non-Compliant,Low
Bowser Securities,2023-09-30,East,13.9,46.85,52.38,49.1,148.33,Compliant,High
Bowser Securities,2023-12-31,East,13.9,46.43,52.23,48.81,147.47,Non-Compliant,High
Toad Savings,2019-03-31,North,12.19,50.19,50.49,49.81,150.49,Compliant,High
Toad Savings,2019-06-30,North,12.35,50.44,50.65,49.73,150.82,Compliant,Low
Toad Savings,2019-09-30,North,12.42,50.7,47.44,49.67,147.81,Non-Compliant,Low
Toad Savings,2019-12-31,North,12.61,50.81,47.86,50.1,148.77,Non-Compliant,Low
Toad Savings,2020-03-31,North,12.63,51.06,47.89,49.74,148.69,Compliant,Low
Toad Savings,2020-06-30,North,13.02,51.29,48.04,49.72,149.05,Compliant,Moderate
Toad Savings,2020-09-30,North,13.33,53.34,48.06,50.05,151.45,Non-Compliant,Low
Toad Savings,2020-12-31,North,13.66,53.46,48.59,49.51,151.56,Compliant,Low
Toad Savings,2021-03-31,North,13.94,53.57,49.04,49.56,152.17,Non-Compliant,High
Toad Savings,2021-06-30,North,14.16,53.64,49.12,49.27,152.03,Compliant,Low
